dataset,k,skill,cost_greedy,cost_wo,cost_cra,payment_greedy,payment_wo,payment_cra
dash,25,20,2.3376403569115407,1.2431874380124377,2.350610468499418,2.9120355945803817,1.281272498140548,4.073012834133484
dash,50,20,1.952807050954395,1.2066743680804422,1.99950242289392,2.279561465151489,1.2398680821207115,3.178601047656234
dash,75,20,1.8367746560588176,1.188692818714264,1.8840886135185284,2.09604312264271,1.227560576087125,2.88766468970684
dash,100,20,1.7197003154718822,1.2291232139114832,1.7969189009074822,1.953639068446944,1.2674384841306836,2.8174094640877545
dash,125,20,1.685206614526452,1.2205365034983515,1.7106099119816616,1.881179289583404,1.251180530886821,2.5525262001451225
dash,150,20,1.666166539417908,1.196934785097576,1.6986348474203594,1.823164047626974,1.2333250675898713,2.443448676395493
dash,175,20,1.6023527170794682,1.2297379507656347,1.63243985496138,1.7566524757564337,1.2615444971128018,2.350285274336797
dash,200,20,1.5929083913965445,1.2326242846915276,1.6736507929317441,1.7413756302756591,1.2656529305035915,2.464981443188681
